検索キー特定用識別子,検索キー,建物用途コード,室分類コード,建物用途名称,室用途名称,室用途名略称１,室用途名略称２,室用途名略称３
集会所等公衆浴場の脱衣所,M-16,MeetingPlace,LockerRoomInBathingFacility,集会所等,公衆浴場の脱衣所,公衆浴場脱衣室,浴場施設の脱衣所,浴場施設脱衣室
集会所等公衆浴場の休憩室,M-17,MeetingPlace,RestingRoomInBathingFacility,集会所等,公衆浴場の休憩室,公衆浴場休憩室,浴場施設の休憩室,浴場施設休憩室
集会所等公衆浴場のロビー,M-18,MeetingPlace,LobbyInBathingFacility,集会所等,公衆浴場のロビー,公衆浴場ロビー,浴場施設のロビー,浴場施設ロビー
集会所等公衆浴場の便所,M-19,MeetingPlace,ToiletInBathingFacility,集会所等,公衆浴場の便所,公衆浴場便所,浴場施設の便所,浴場施設便所
集会所等公衆浴場の喫煙室,M-20,MeetingPlace,SmokingRoomInBathingFacility,集会所等,公衆浴場の喫煙室,公衆浴場喫煙室,浴場施設の喫煙室,浴場施設喫煙室
集会所等映画館の客席,M-21,MeetingPlace,AuditoriumInMovieTheater,集会所等,映画館の客席,映画館観客席,,
集会所等映画館のロビー,M-22,MeetingPlace,LobbyInMovieTheater,集会所等,映画館のロビー,映画館ロビー,,
集会所等映画館の便所,M-23,MeetingPlace,ToiletInMovieTheater,集会所等,映画館の便所,映画館便所,,
集会所等映画館の喫煙室,M-24,MeetingPlace,SmokingRoomInMovieTheater,集会所等,映画館の喫煙室,映画館喫煙室,,
集会所等図書館の図書室,M-25,MeetingPlace,Library,集会所等,図書館の図書室,図書館図書室,,
集会所等図書館のロビー,M-26,MeetingPlace,LobbyInLibrary,集会所等,図書館のロビー,図書館ロビー,,
集会所等図書館の便所,M-27,MeetingPlace,ToiletInLibrary,集会所等,図書館の便所,図書館便所,,
集会所等図書館の喫煙室,M-28,MeetingPlace,SmokingRoomInLibrary,集会所等,図書館の喫煙室,図書館喫煙室,,
集会所等博物館の展示室,M-29,MeetingPlace,Museum,集会所等,博物館の展示室,博物館展示室,,
集会所等博物館のロビー,M-30,MeetingPlace,LobbyInMuseum,集会所等,博物館のロビー,博物館ロビー,,
集会所等博物館の便所,M-31,MeetingPlace,ToiletInMuseum,集会所等,博物館の便所,博物館便所,,
集会所等博物館の喫煙室,M-32,MeetingPlace,SmokingRoomInMuseum,集会所等,博物館の喫煙室,博物館喫煙室,,
集会所等劇場の楽屋,M-33,MeetingPlace,DressingRoom,集会所等,劇場の楽屋,劇場楽屋,,
集会所等劇場の舞台,M-34,MeetingPlace,BoardInTheater,集会所等,劇場の舞台,劇場舞台,,
集会所等劇場の客席,M-35,MeetingPlace,AudienceSeatInTheater,集会所等,劇場の客席,劇場観客席,,
集会所等劇場のロビー,M-36,MeetingPlace,LobbyInTheater,集会所等,劇場のロビー,劇場ロビー,,
集会所等劇場の便所,M-37,MeetingPlace,ToiletInTheater,集会所等,劇場の便所,劇場便所,,
集会所等劇場の喫煙室,M-38,MeetingPlace,SmokingRoomInTheater,集会所等,劇場の喫煙室,劇場喫煙室,,
集会所等カラオケボックス,M-39,MeetingPlace,Karaoke,集会所等,カラオケボックス,,,
集会所等ボーリング場,M-41,MeetingPlace,Bowlling,集会所等,ボーリング場,,,
集会所等ぱちんこ屋,M-42,MeetingPlace,Pachinko,集会所等,ぱちんこ屋,パチンコ屋,,
集会所等競馬場又は競輪場の客席,M-43,MeetingPlace,AuditoriumInRaceCourse,集会所等,競馬場又は競輪場の客席,競馬競輪場観客席,競馬場の客席,競輪場の客席
集会所等競馬場又は競輪場の券売場,M-44,MeetingPlace,TicketOfficeInRaceCourse,集会所等,競馬場又は競輪場の券売場,競馬競輪場券売場,競馬場の券売場,競輪場の券売場
集会所等競馬場又は競輪場の店舗,M-45,MeetingPlace,ShopInRaceCourse,集会所等,競馬場又は競輪場の店舗,競馬競輪場店舗,競馬場の店舗,競輪場の店舗
集会所等競馬場又は競輪場のロビー,M-46,MeetingPlace,LobbyInRaceCourse,集会所等,競馬場又は競輪場のロビー,競馬競輪場ロビー,競馬場のロビー,競輪場のロビー
集会所等競馬場又は競輪場の便所,M-47,MeetingPlace,ToiletInRaceCourse,集会所等,競馬場又は競輪場の便所,競馬競輪場便所,競馬場の便所,競輪場の便所
集会所等競馬場又は競輪場の喫煙室,M-48,MeetingPlace,SmokingRoomInRaceCourse,集会所等,競馬場又は競輪場の喫煙室,競馬競輪場喫煙室,競馬場の喫煙室,競輪場の喫煙室
集会所等社寺の本殿,M-49,MeetingPlace,MainHallInTemple,集会所等,社寺の本殿,社寺本殿,,
集会所等社寺のロビー,M-50,MeetingPlace,LobbyInTemple,集会所等,社寺のロビー,社寺ロビー,,
集会所等社寺の便所,M-51,MeetingPlace,ToiletInTemple,集会所等,社寺の便所,社寺便所,,
集会所等社寺の喫煙室,M-52,MeetingPlace,SmokingRoomInTemple,集会所等,社寺の喫煙室,社寺喫煙室,,
集会所等厨房,M-53,MeetingPlace,Kitchen,集会所等,厨房,,,
集会所等屋内駐車場,M-54,MeetingPlace,IndoorParking,集会所等,屋内駐車場,,,
集会所等機械室,M-55,MeetingPlace,MechanicalRoom,集会所等,機械室,,,
集会所等電気室,M-56,MeetingPlace,ElectricalRoom,集会所等,電気室,,,
集会所等湯沸室等,M-57,MeetingPlace,Kitchenette,集会所等,湯沸室等,,,
集会所等食品庫等,M-58,MeetingPlace,StorageRoom,集会所等,食品庫等,,,
集会所等印刷室等,M-59,MeetingPlace,CopyRoom,集会所等,印刷室等,,,
集会所等廃棄物保管場所等,M-60,MeetingPlace,GarbageStorage,集会所等,廃棄物保管場所等,ゴミ置場等,,
工場等倉庫,F-1,Factory,WareHouse,工場等,倉庫,,,
工場等屋外駐車場又は駐輪場,F-2,Factory,OutdoorParikng,工場等,屋外駐車場又は駐輪場,屋外駐車駐輪場,屋外駐車場,駐輪場
共同住宅屋内廊下,A-1,ApartmentHouse,IndoorCorridor,共同住宅,屋内廊下,,,
共同住宅ロビー,A-2,ApartmentHouse,Lobby,共同住宅,ロビー,,,
共同住宅管理人室,A-3,ApartmentHouse,ManagerRoom,共同住宅,管理人室,,,
共同住宅集会室,A-4,ApartmentHouse,AssemblyRoom,共同住宅,集会室,,,
共同住宅屋外廊下,A-5,ApartmentHouse,OutdoorCorridor,共同住宅,屋外廊下,,,
共同住宅屋内駐車場,A-6,ApartmentHouse,IndoorParking,共同住宅,屋内駐車場,,,
共同住宅機械室,A-7,ApartmentHouse,MechanicalRoom,共同住宅,機械室,,,
共同住宅電気室,A-8,ApartmentHouse,ElectricalRoom,共同住宅,電気室,,,
共同住宅廃棄物保管場所等,A-9,ApartmentHouse,GarbageStorage,共同住宅,廃棄物保管場所等,ゴミ置場等,,
