キー,建物用途名称,室用途名称,地域区分1における床面積あたりの基準一次エネルギー消費量,地域区分2における床面積あたりの基準一次エネルギー消費量,地域区分3における床面積あたりの基準一次エネルギー消費量,地域区分4における床面積あたりの基準一次エネルギー消費量,地域区分5における床面積あたりの基準一次エネルギー消費量,地域区分6における床面積あたりの基準一次エネルギー消費量,地域区分7における床面積あたりの基準一次エネルギー消費量,地域区分8における床面積あたりの基準一次エネルギー消費量
S-5,物品販売業を営む店舗等,事務室,1696,1616,1373,1396,1388,1458,1484,1673
S-6,物品販売業を営む店舗等,更衣室又は倉庫,1877,1834,1818,1864,2018,2120,2196,2674
S-7,物品販売業を営む店舗等,ロビー,1465,1419,1297,1315,1369,1409,1420,1601
S-8,物品販売業を営む店舗等,便所,1465,1419,1297,1315,1369,1409,1420,1601
S-9,物品販売業を営む店舗等,喫煙室,1465,1419,1297,1315,1369,1409,1420,1601
S-10,物品販売業を営む店舗等,厨房,0,0,0,0,0,0,0,0
S-11,物品販売業を営む店舗等,屋内駐車場,0,0,0,0,0,0,0,0
S-12,物品販売業を営む店舗等,機械室,0,0,0,0,0,0,0,0
S-13,物品販売業を営む店舗等,電気室,0,0,0,0,0,0,0,0
S-14,物品販売業を営む店舗等,湯沸室等,0,0,0,0,0,0,0,0
S-15,物品販売業を営む店舗等,食品庫等,0,0,0,0,0,0,0,0
S-16,物品販売業を営む店舗等,印刷室等,0,0,0,0,0,0,0,0
S-17,物品販売業を営む店舗等,廃棄物保管場所等,0,0,0,0,0,0,0,0
E-1,学校等,小中学校の教室,562,563,467,457,602,656,635,841
E-2,学校等,高等学校の教室,562,563,467,457,602,656,635,841
E-3,学校等,職員室,1390,1325,933,960,968,1052,1022,1155
E-4,学校等,小中学校又は高等学校の食堂,291,290,231,226,262,286,271,319
E-5,学校等,大学の教室,603,596,498,510,553,594,591,831
E-6,学校等,大学の食堂,2582,2553,2410,2459,2664,2735,2754,3405
E-7,学校等,事務室,795,787,617,627,638,705,658,832
E-8,学校等,研究室,995,976,945,967,1021,1109,1109,1456
E-9,学校等,電子計算機器演習室,872,876,844,882,932,1041,1081,1426
E-10,学校等,実験室,872,876,844,882,932,1041,1081,1426
E-11,学校等,実習室,872,876,844,882,932,1041,1081,1426
E-12,学校等,講堂又は体育館,1081,1076,909,937,973,1052,1028,1293
E-13,学校等,宿直室,1552,1415,1058,1042,1061,1075,1058,1133
E-14,学校等,更衣室又は倉庫,993,998,964,980,1049,1130,1133,1406
E-15,学校等,廊下,633,627,560,574,575,628,606,757
E-16,学校等,ロビー,1663,1661,1796,1858,2061,2187,2262,2813
E-17,学校等,便所,633,627,560,574,575,628,606,757
E-18,学校等,喫煙室,633,627,560,574,575,628,606,757
E-19,学校等,厨房,0,0,0,0,0,0,0,0
E-20,学校等,屋内駐車場,0,0,0,0,0,0,0,0
E-21,学校等,機械室,0,0,0,0,0,0,0,0
E-22,学校等,電気室,0,0,0,0,0,0,0,0
E-23,学校等,湯沸室等,0,0,0,0,0,0,0,0
E-24,学校等,食品庫等,0,0,0,0,0,0,0,0
E-25,学校等,印刷室等,0,0,0,0,0,0,0,0
E-26,学校等,廃棄物保管場所等,0,0,0,0,0,0,0,0
R-1,飲食店等,レストランの客室,1834,1823,1741,1817,1918,1965,1933,2358
R-2,飲食店等,軽食店の客室,1706,1721,1460,1518,1618,1682,1705,1920
R-3,飲食店等,喫茶店の客室,1749,1771,1567,1637,1755,1808,1784,2064
R-4,飲食店等,バー,433,426,372,375,380,404,395,423
R-5,飲食店等,フロント,845,856,716,732,732,752,727,793
R-6,飲食店等,事務室,1071,1094,903,943,981,1008,974,1080
R-7,飲食店等,更衣室又は倉庫,1083,1120,881,915,957,999,998,1028
R-8,飲食店等,廊下,845,856,716,732,732,752,727,793
R-9,飲食店等,ロビー,845,856,716,732,732,752,727,793
R-10,飲食店等,便所,845,856,716,732,732,752,727,793
R-11,飲食店等,喫煙室,845,856,716,732,732,752,727,793
R-12,飲食店等,厨房,0,0,0,0,0,0,0,0
R-13,飲食店等,屋内駐車場,0,0,0,0,0,0,0,0
R-14,飲食店等,機械室,0,0,0,0,0,0,0,0
R-15,飲食店等,電気室,0,0,0,0,0,0,0,0
R-16,飲食店等,湯沸室等,0,0,0,0,0,0,0,0
R-17,飲食店等,食品庫等,0,0,0,0,0,0,0,0
R-18,飲食店等,印刷室等,0,0,0,0,0,0,0,0
R-19,飲食店等,廃棄物保管場所等,0,0,0,0,0,0,0,0
M-1,集会所等,アスレチック場の運動室,1800,1752,1884,1952,2129,2272,2367,2961
M-2,集会所等,アスレチック場のロビー,1703,1630,1779,1812,1953,2060,2095,2533
M-3,集会所等,アスレチック場の便所,1703,1630,1779,1812,1953,2060,2095,2533
M-4,集会所等,アスレチック場の喫煙室,1703,1630,1779,1812,1953,2060,2095,2533
M-5,集会所等,公式競技用スケート場,2688,2621,2753,2841,3069,3211,3375,4242
M-6,集会所等,公式競技用体育館,2688,2621,2753,2841,3069,3211,3375,4242
M-7,集会所等,一般競技用スケート場,2688,2621,2753,2841,3069,3211,3375,4242
M-8,集会所等,一般競技用体育館,2688,2621,2753,2841,3069,3211,3375,4242
M-9,集会所等,レクリエーション用スケート場,2688,2621,2753,2841,3069,3211,3375,4242
M-10,集会所等,レクリエーション用体育館,2688,2621,2753,2841,3069,3211,3375,4242
M-11,集会所等,競技場の客席,2231,2164,2163,2223,2363,2505,2614,3281
M-12,集会所等,競技場のロビー,1758,1721,1872,1905,2043,2149,2187,2637
M-13,集会所等,競技場の便所,1758,1721,1872,1905,2043,2149,2187,2637
M-14,集会所等,競技場の喫煙室,1758,1721,1872,1905,2043,2149,2187,2637
M-15,集会所等,公衆浴場の浴室,1964,1898,1898,1935,2030,2119,2187,2696
M-16,集会所等,公衆浴場の脱衣所,1964,1898,1898,1935,2030,2119,2187,2696
M-17,集会所等,公衆浴場の休憩室,1964,1898,1898,1935,2030,2119,2187,2696
M-18,集会所等,公衆浴場のロビー,1964,1898,1898,1935,2030,2119,2187,2696
M-19,集会所等,公衆浴場の便所,3623,3580,3862,3924,4285,4502,4660,5662
M-20,集会所等,公衆浴場の喫煙室,3623,3580,3862,3924,4285,4502,4660,5662
M-21,集会所等,映画館の客席,6690,6474,6441,6605,7145,7398,7716,9685
M-22,集会所等,映画館のロビー,3644,3634,4072,4118,4538,4739,4852,5802
M-23,集会所等,映画館の便所,3860,3814,4114,4188,4586,4817,4981,6044
M-24,集会所等,映画館の喫煙室,3860,3814,4114,4188,4586,4817,4981,6044
M-25,集会所等,図書館の図書室,1410,1327,1232,1256,1274,1372,1375,1735
M-26,集会所等,図書館のロビー,2379,2292,2464,2513,2708,2875,2938,3568
M-27,集会所等,図書館の便所,2379,2292,2464,2513,2708,2875,2938,3568
M-28,集会所等,図書館の喫煙室,2379,2292,2464,2513,2708,2875,2938,3568
M-29,集会所等,博物館の展示室,1167,1088,967,977,965,1024,1004,1219
M-30,集会所等,博物館のロビー,1992,1917,2049,2084,2226,2367,2408,2927
M-31,集会所等,博物館の便所,1992,1917,2049,2084,2226,2367,2408,2927
M-32,集会所等,博物館の喫煙室,1992,1917,2049,2084,2226,2367,2408,2927
M-33,集会所等,劇場の楽屋,904,892,913,952,1027,1085,1136,1444
M-34,集会所等,劇場の舞台,2853,2760,2870,2987,3262,3387,3596,4571
M-35,集会所等,劇場の客席,2853,2760,2870,2987,3262,3387,3596,4571
M-36,集会所等,劇場のロビー,1788,1732,1827,1875,2014,2109,2176,2647
M-37,集会所等,劇場の便所,1788,1732,1827,1875,2014,2109,2176,2647
M-38,集会所等,劇場の喫煙室,1788,1732,1827,1875,2014,2109,2176,2647
M-39,集会所等,カラオケボックス,4925,5129,4263,4529,4864,4994,4978,5356
M-41,集会所等,ボーリング場,2641,2640,2988,3048,3371,3529,3649,4376
M-42,集会所等,ぱちんこ屋,3451,3433,3252,3399,3603,3687,3656,4471
M-43,集会所等,競馬場又は競輪場の客席,1700,1647,1681,1739,1805,1965,2020,2595
M-44,集会所等,競馬場又は競輪場の券売場,1281,1249,1343,1363,1447,1532,1553,1878
M-45,集会所等,競馬場又は競輪場の店舗,1281,1249,1343,1363,1447,1532,1553,1878
M-46,集会所等,競馬場又は競輪場のロビー,1281,1249,1343,1363,1447,1532,1553,1878
