キー,建物用途名称,室用途名称,床面積あたりの基準一次エネルギー消費量
D-4,病院等,終日利用される廊下,564
D-5,病院等,終日利用されるロビー,1026
D-6,病院等,終日利用される共用部の便所,1026
D-7,病院等,終日利用される喫煙室,564
D-8,病院等,診察室,448
D-9,病院等,待合室,303
D-10,病院等,手術室,929
D-11,病院等,検査室,465
D-12,病院等,集中治療室,1394
D-13,病院等,解剖室等,44
D-14,病院等,レストラン,522
D-15,病院等,事務室,418
D-16,病院等,更衣室又は倉庫,169
D-17,病院等,日中のみ利用される廊下,188
D-18,病院等,日中のみ利用されるロビー,342
D-19,病院等,日中のみ利用される共用部の便所,342
D-20,病院等,日中のみ利用される喫煙室,188
D-21,病院等,厨房,886
D-22,病院等,屋内駐車場,308
D-23,病院等,機械室,26
D-24,病院等,電気室,26
D-25,病院等,湯沸室等,180
D-26,病院等,食品庫等,197
D-27,病院等,印刷室等,298
D-28,病院等,廃棄物保管場所等,98
S-1,物品販売業を営む店舗等,大型店の売場,931
S-2,物品販売業を営む店舗等,専門店の売場,829
S-3,物品販売業を営む店舗等,スーパーマーケットの売場,764
S-4,物品販売業を営む店舗等,荷さばき場,125
S-5,物品販売業を営む店舗等,事務室,755
S-6,物品販売業を営む店舗等,更衣室又は倉庫,306
S-7,物品販売業を営む店舗等,ロビー,1246
S-8,物品販売業を営む店舗等,便所,556
S-9,物品販売業を営む店舗等,喫煙室,306
S-10,物品販売業を営む店舗等,厨房,548
S-11,物品販売業を営む店舗等,屋内駐車場,193
S-12,物品販売業を営む店舗等,機械室,16
S-13,物品販売業を営む店舗等,電気室,16
S-14,物品販売業を営む店舗等,湯沸室等,110
S-15,物品販売業を営む店舗等,食品庫等,119
S-16,物品販売業を営む店舗等,印刷室等,181
S-17,物品販売業を営む店舗等,廃棄物保管場所等,60
E-1,学校等,小中学校の教室,176
E-2,学校等,高等学校の教室,176
E-3,学校等,職員室,382
E-4,学校等,小中学校又は高等学校の食堂,63
E-5,学校等,大学の教室,183
E-6,学校等,大学の食堂,333
E-7,学校等,事務室,383
E-8,学校等,研究室,557
E-9,学校等,電子計算機器演習室,312
E-10,学校等,実験室,514
E-11,学校等,実習室,386
E-12,学校等,講堂又は体育館,103
E-13,学校等,宿直室,311
E-14,学校等,更衣室又は倉庫,155
E-15,学校等,廊下,188
E-16,学校等,ロビー,282
E-17,学校等,便所,282
E-18,学校等,喫煙室,155
E-19,学校等,厨房,193
E-20,学校等,屋内駐車場,105
E-21,学校等,機械室,6
E-22,学校等,電気室,6
E-23,学校等,湯沸室等,39
E-24,学校等,食品庫等,42
E-25,学校等,印刷室等,64
E-26,学校等,廃棄物保管場所等,21
R-1,飲食店等,レストランの客室,926
R-2,飲食店等,軽食店の客室,556
R-3,飲食店等,喫茶店の客室,940
R-4,飲食店等,バー,116
R-5,飲食店等,フロント,509
R-6,飲食店等,事務室,755
R-7,飲食店等,更衣室又は倉庫,306
R-8,飲食店等,廊下,278
R-9,飲食店等,ロビー,556
R-10,飲食店等,便所,556
R-11,飲食店等,喫煙室,306
R-12,飲食店等,厨房,548
R-13,飲食店等,屋内駐車場,176
R-14,飲食店等,機械室,16
R-15,飲食店等,電気室,16
R-16,飲食店等,湯沸室等,110
R-17,飲食店等,食品庫等,119
R-18,飲食店等,印刷室等,181
R-19,飲食店等,廃棄物保管場所等,60
M-1,集会所等,アスレチック場の運動室,635
M-2,集会所等,アスレチック場のロビー,425
M-3,集会所等,アスレチック場の便所,467
M-4,集会所等,アスレチック場の喫煙室,257
M-5,集会所等,公式競技用スケート場,1780
M-6,集会所等,公式競技用体育館,1187
M-7,集会所等,一般競技用スケート場,890
M-8,集会所等,一般競技用体育館,593
M-9,集会所等,レクリエーション用スケート場,358
M-10,集会所等,レクリエーション用体育館,236
M-11,集会所等,競技場の客席,93
M-12,集会所等,競技場のロビー,443
M-13,集会所等,競技場の便所,488
M-14,集会所等,競技場の喫煙室,268
M-15,集会所等,公衆浴場の浴室,688
M-16,集会所等,公衆浴場の脱衣所,359
M-17,集会所等,公衆浴場の休憩室,399
M-18,集会所等,公衆浴場のロビー,544
M-19,集会所等,公衆浴場の便所,598
M-20,集会所等,公衆浴場の喫煙室,329
M-21,集会所等,映画館の客席,128
M-22,集会所等,映画館のロビー,641
M-23,集会所等,映画館の便所,641
M-24,集会所等,映画館の喫煙室,353
