キー,建物用途名称,室用途名称,床面積あたりの基準一次エネルギー消費量
E-16,学校等,ロビー,0
E-17,学校等,便所,318
E-18,学校等,喫煙室,635
E-19,学校等,厨房,2108
E-20,学校等,屋内駐車場,1171
E-21,学校等,機械室,769
E-22,学校等,電気室,1539
E-23,学校等,湯沸室等,53
E-24,学校等,食品庫等,105
E-25,学校等,印刷室等,105
E-26,学校等,廃棄物保管場所等,316
R-1,飲食店等,レストランの客室,0
R-2,飲食店等,軽食店の客室,0
R-3,飲食店等,喫茶店の客室,0
R-4,飲食店等,バー,0
R-5,飲食店等,フロント,0
R-6,飲食店等,事務室,0
R-7,飲食店等,更衣室又は倉庫,208
R-8,飲食店等,廊下,0
R-9,飲食店等,ロビー,0
R-10,飲食店等,便所,625
R-11,飲食店等,喫煙室,1250
R-12,飲食店等,厨房,5973
R-13,飲食店等,屋内駐車場,1952
R-14,飲食店等,機械室,769
R-15,飲食店等,電気室,1539
R-16,飲食店等,湯沸室等,149
R-17,飲食店等,食品庫等,299
R-18,飲食店等,印刷室等,299
R-19,飲食店等,廃棄物保管場所等,896
M-1,集会所等,アスレチック場の運動室,175
M-2,集会所等,アスレチック場のロビー,0
M-3,集会所等,アスレチック場の便所,526
M-4,集会所等,アスレチック場の喫煙室,1052
M-5,集会所等,公式競技用スケート場,183
M-6,集会所等,公式競技用体育館,183
M-7,集会所等,一般競技用スケート場,183
M-8,集会所等,一般競技用体育館,183
M-9,集会所等,レクリエーション用スケート場,183
M-10,集会所等,レクリエーション用体育館,183
M-11,集会所等,競技場の客席,0
M-12,集会所等,競技場のロビー,0
M-13,集会所等,競技場の便所,549
M-14,集会所等,競技場の喫煙室,1097
M-15,集会所等,公衆浴場の浴室,224
M-16,集会所等,公衆浴場の脱衣所,224
M-17,集会所等,公衆浴場の休憩室,224
M-18,集会所等,公衆浴場のロビー,0
M-19,集会所等,公衆浴場の便所,673
M-20,集会所等,公衆浴場の喫煙室,1347
M-21,集会所等,映画館の客席,0
M-22,集会所等,映画館のロビー,0
M-23,集会所等,映画館の便所,721
M-24,集会所等,映画館の喫煙室,1443
M-25,集会所等,図書館の図書室,0
M-26,集会所等,図書館のロビー,0
M-27,集会所等,図書館の便所,405
M-28,集会所等,図書館の喫煙室,809
M-29,集会所等,博物館の展示室,0
M-30,集会所等,博物館のロビー,0
M-31,集会所等,博物館の便所,324
M-32,集会所等,博物館の喫煙室,647
M-33,集会所等,劇場の楽屋,0
M-34,集会所等,劇場の舞台,0
M-35,集会所等,劇場の客席,0
M-36,集会所等,劇場のロビー,0
M-37,集会所等,劇場の便所,298
M-38,集会所等,劇場の喫煙室,595
M-39,集会所等,カラオケボックス,1154
M-41,集会所等,ボーリング場,673
M-42,集会所等,ぱちんこ屋,625
M-43,集会所等,競馬場又は競輪場の客席,0
M-44,集会所等,競馬場又は競輪場の券売場,0
M-45,集会所等,競馬場又は競輪場の店舗,0
M-46,集会所等,競馬場又は競輪場のロビー,0
M-47,集会所等,競馬場又は競輪場の便所,411
M-48,集会所等,競馬場又は競輪場の喫煙室,823
M-49,集会所等,社寺の本殿,0
M-50,集会所等,社寺のロビー,0
M-51,集会所等,社寺の便所,331
M-52,集会所等,社寺の喫煙室,661
M-53,集会所等,厨房,7027
M-54,集会所等,屋内駐車場,1562
M-55,集会所等,機械室,769
M-56,集会所等,電気室,1539
M-57,集会所等,湯沸室等,176
M-58,集会所等,食品庫等,351
M-59,集会所等,印刷室等,351
M-60,集会所等,廃棄物保管場所等,1054
F-1,工場等,倉庫,0
F-2,工場等,屋外駐車場又は駐輪場,0
A-1,共同住宅,屋内廊下,0
A-2,共同住宅,ロビー,0
A-3,共同住宅,管理人室,0
A-4,共同住宅,集会室,0
A-5,共同住宅,屋外廊下,0
A-6,共同住宅,屋内駐車場,997
A-7,共同住宅,機械室,712
A-8,共同住宅,電気室,1425
A-9,共同住宅,廃棄物保管場所等,2137
